timestamp,strategy,side,trade_price,best_bid,best_ask,b_hat,a_hat,Q,cash,pnl
1767082884.6580079,ADAPTIVE,BUY,180,175,180,171.83532934131736,183.16467065868264,1,-180.0,-2.5
1767082884.6620004,ADAPTIVE,BUY,480,475,480,471.99793814432985,482.8020618556701,2,-660.0,295.0
1767082884.6851742,ADAPTIVE,BUY,575,570,575,566.5727272727272,578.0272727272727,3,-1235.0,482.5
1767082884.690168,ADAPTIVE,BUY,105,100,105,95.7897435897436,108.61025641025641,4,-1340.0,-930.0
1767082884.7021492,ADAPTIVE,BUY,100,95,100,91.1,103.1,5,-1440.0,-952.5
1767082884.7061431,ADAPTIVE,BUY,220,215,220,210.72666666666666,223.27333333333334,6,-1660.0,-355.0
1767082884.7101352,ADAPTIVE,BUY,100,95,100,90.10250521920669,103.69749478079332,7,-1760.0,-1077.5
1767082884.7151325,ADAPTIVE,BUY,270,265,270,260.3711060948081,273.2288939051919,8,-2030.0,110.0
1767082884.7201195,ADAPTIVE,BUY,530,525,530,521.6801324503311,531.719867549669,9,-2560.0,2187.5
1767082884.721119,ADAPTIVE,SELL,705,705,710,698.7318681318682,714.4681318681319,8,-1855.0,3805.0
1767082884.7231166,ADAPTIVE,SELL,425,425,430,419.7,433.7,7,-1430.0,1562.5
1767082884.725113,ADAPTIVE,BUY,2950,2945,2950,2941.3714285714286,2952.2285714285717,8,-4380.0,19200.0
1767082884.7261102,ADAPTIVE,SELL,2145,2145,2150,2139.985714285714,2153.4142857142856,7,-2235.0,12797.5
1767082884.7281084,ADAPTIVE,BUY,450,445,450,441.3280898876405,452.27191011235954,8,-2685.0,895.0
1767082884.7301052,ADAPTIVE,BUY,220,215,220,211.44698795180722,221.95301204819276,9,-2905.0,-947.5
1767082884.731103,ADAPTIVE,BUY,280,275,280,271.03333333333336,282.1666666666667,10,-3185.0,-410.0
1767082884.7338197,ADAPTIVE,SELL,245,245,250,239.9867256637168,253.0132743362832,9,-2940.0,-712.5
1767082884.7358193,ADAPTIVE,BUY,160,155,160,150.32075471698113,162.87924528301886,10,-3100.0,-1525.0
1767082884.73682,ADAPTIVE,SELL,1590,1590,1595,1584.1923076923076,1598.8076923076924,9,-1510.0,12822.5
1767082884.7388163,ADAPTIVE,SELL,160,160,165,154.48702928870293,168.71297071129706,8,-1350.0,-50.0
1767082884.7408128,ADAPTIVE,SELL,905,905,915,903.8197183098592,914.5802816901409,7,-445.0,5925.0
1767082884.7428086,ADAPTIVE,BUY,560,555,560,550.1636363636363,563.4363636363636,8,-1005.0,3455.0
1767082884.743807,ADAPTIVE,SELL,340,340,345,334.08961038961036,349.3103896103896,7,-665.0,1732.5
1767082884.745804,ADAPTIVE,BUY,135,130,135,125.34838709677419,138.2516129032258,8,-800.0,260.0
1767082884.7468019,ADAPTIVE,BUY,2415,2410,2415,2405.45,2417.95,9,-3215.0,18497.5
1767082884.7487977,ADAPTIVE,BUY,170,165,170,161.0705882352941,172.12941176470588,10,-3385.0,-1710.0
1767082884.750866,ADAPTIVE,SELL,650,650,655,643.9285714285714,659.0714285714286,9,-2735.0,3137.5
1767082884.750866,ADAPTIVE,SELL,185,185,190,179.2,194.0,8,-2550.0,-1050.0
1767082884.750866,ADAPTIVE,BUY,205,200,205,195.96086956521737,207.4391304347826,9,-2755.0,-932.5
1767082884.750866,ADAPTIVE,BUY,220,215,220,211.17142857142858,222.0285714285714,10,-2975.0,-800.0
1767082884.750866,ADAPTIVE,SELL,95,95,100,89.77384615384615,103.22615384615385,9,-2880.0,-2002.5
1767082884.750866,ADAPTIVE,BUY,140,135,140,130.60943396226415,142.59056603773584,10,-3020.0,-1645.0
1767082884.750866,ADAPTIVE,SELL,120,120,130,118.58620689655173,129.41379310344828,9,-2900.0,-1775.0
1767082884.750866,ADAPTIVE,BUY,290,285,290,280.5550561797753,292.64494382022474,10,-3190.0,-315.0
1767082884.750866,ADAPTIVE,SELL,170,170,175,163.94444444444446,179.05555555555554,9,-3020.0,-1467.5
1767082884.750866,ADAPTIVE,BUY,225,220,225,216.4856304985337,226.71436950146628,10,-3245.0,-1020.0
1767082884.7664921,ADAPTIVE,SELL,400,400,405,394.6162790697674,408.3837209302326,9,-2845.0,777.5
1767082884.7664921,ADAPTIVE,SELL,170,170,180,168.725,179.475,8,-2675.0,-1275.0
1767082884.7664921,ADAPTIVE,SELL,1845,1845,1855,1843.7,1854.7,7,-830.0,12120.0
1767082884.7664921,ADAPTIVE,BUY,175,170,175,166.52727272727273,177.0727272727273,8,-1005.0,375.0
1767082884.7664921,ADAPTIVE,BUY,335,330,335,326.2544554455445,337.14554455445545,9,-1340.0,1652.5
1767082884.7664921,ADAPTIVE,SELL,165,165,170,159.21363636363637,173.98636363636362,8,-1175.0,165.0
1767082884.7664921,ADAPTIVE,SELL,740,740,750,739.174358974359,749.225641025641,7,-435.0,4780.0
1767082884.7664921,ADAPTIVE,BUY,165,160,165,156.7464285714286,166.85357142857143,8,-600.0,700.0
1767082884.7821176,ADAPTIVE,SELL,130,130,135,124.96502145922747,138.43497854077253,7,-470.0,457.5
1767082884.7821176,ADAPTIVE,BUY,255,250,255,246.55675675675676,257.04324324324324,8,-725.0,1295.0
1767082884.7821176,ADAPTIVE,BUY,365,360,365,356.6649805447471,366.7350194552529,9,-1090.0,2172.5
1767082884.7821176,ADAPTIVE,SELL,300,300,305,294.75384615384615,308.4461538461539,8,-790.0,1630.0
1767082884.7821176,ADAPTIVE,BUY,105,100,105,96.15647773279352,107.24352226720649,9,-895.0,27.5
1767082884.7821176,ADAPTIVE,BUY,395,390,395,386.11162790697676,397.0883720930233,10,-1290.0,2635.0
1767082884.8931103,ADAPTIVE,SELL,95,95,100,89.70250521920669,103.29749478079331,9,-1195.0,-317.5
1767082884.8931103,ADAPTIVE,BUY,270,265,270,260.1711060948081,273.0288939051919,10,-1465.0,1210.0
1767082884.8931103,ADAPTIVE,SELL,705,705,710,698.6318681318681,714.3681318681319,9,-760.0,5607.5
1767082884.8931103,ADAPTIVE,SELL,425,425,430,419.6,433.6,8,-335.0,3085.0
1767082884.8931103,ADAPTIVE,BUY,2950,2945,2950,2941.2714285714283,2952.1285714285714,9,-3285.0,23242.5
1767082884.8931103,ADAPTIVE,SELL,2145,2145,2150,2139.885714285714,2153.3142857142857,8,-1140.0,16040.0
1767082884.90875,ADAPTIVE,BUY,450,445,450,441.22808988764046,452.1719101123595,9,-1590.0,2437.5
1767082884.90875,ADAPTIVE,BUY,220,215,220,211.34698795180722,221.85301204819277,10,-1810.0,365.0
1767082884.90875,ADAPTIVE,SELL,245,245,250,239.9867256637168,253.0132743362832,9,-1565.0,662.5
1767082884.90875,ADAPTIVE,BUY,160,155,160,150.32075471698113,162.87924528301886,10,-1725.0,-150.0
1767082884.90875,ADAPTIVE,SELL,1590,1590,1595,1584.1923076923076,1598.8076923076924,9,-135.0,14197.5
1767082884.90875,ADAPTIVE,SELL,160,160,165,154.48702928870293,168.71297071129706,8,25.0,1325.0
1767082884.90875,ADAPTIVE,SELL,905,905,915,903.8197183098592,914.5802816901409,7,930.0,7300.0
1767082884.9243746,ADAPTIVE,BUY,560,555,560,550.1636363636363,563.4363636363636,8,370.0,4830.0
